Question,Grok-4_prediction,Correct,Score
"Question 48.1 (MC-NJ) - Step 3 A 2-stage screening program for ovarian cancer is being designed. Which
of the following sets of sensitivity and specificity is
most likely preferred for Stage 1 and Stage 2 of the program?
(A) Stage 1: High Sensitivity, Low Specificity; Stage 2: High Sensitivity, Low
Specificity
(B) Stage 1: High Sensitivity, Low Specificity; Stage 2: Low Sensitivity, High
Specificity
(C) Stage 1: Low Sensitivity, High Specificity; Stage 2: High Sensitivity, Low
Specificity
(D) Stage 1: Low Sensitivity, High Specificity; Stage 2: Low Sensitivity, Low
Specificity",B,B,1
"Question 49.1 (MC-NJ) - Step 3 A 35-year-old woman comes to the office for follow-up of chronic pelvic pain. The patient has had deep pelvic pain since undergoing total abdominal hysterectomy and radiation therapy for treatment of cervical cancer 5 years ago. She reports constant, severe aching pain; she rates the pain at its maximum as a 10 on a 10?point scale. The pain worsens during intercourse. All subsequent cancer follow-up has been negative. Medical history otherwise is unremarkable. The patient has taken oxycodone for her pain for 3 years, but she now reports that the oxycodone only partially relieves her pain. She requests either an increased dose of oxycodone or a change in her prescription to controlled-release morphine, which was recently given to her by a friend. She has smoked one pack of cigarettes daily for the past 15 years. She does not drink alcoholic beverages. BMI is 18 kg/m˛. She appears lethargic. She is oriented to person, place, and time but speaks slowly with slurred speech. Vital sIgns are normal. Examination of the skin shows no abnormalities. Pupils are pinpoint and react sluggishly. Which of the following is the most appropriate next step in management?
(A) Inform the patient that she must find a new physician
(B) Maintain the dose of oxycodone and add naproxen
(C) Order a urine toxicology screening
(D) Report the patient's unauthorized drug use to the police
(E) Switch oxycodone to sustained-release morphine",C,C,1
"Question 50.1 (MC-NJ) - Step 3 A 35-year-old woman comes to the office for follow-up of chronic pelvic
pain. The patient has had deep pelvic pain since
undergoing total abdominal hysterectomy and radiation therapy for
treatment of cervical cancer 5 years ago. She reports constant,
severe aching pain; she rates the pain at its maximum as a 10 on a 10?point
scale. The pain worsens during intercourse. All
subsequent cancer follow-up has been negative. Medical history otherwise
is unremarkable. The patient has taken oxycodone for
her pain for 3 years, but she now reports that the oxycodone only partially
relieves her pain. She requests either an increased dose of
oxycodone or a change in her prescription to controlled-release morphine,
which was recently given to her by a friend. She has
smoked one pack of cigarettes daily for the past 15 years. She does not
drink alcoholic beverages. BMI is 18 kg/m2. She appears
lethargic. She is oriented to person, place, and time but speaks slowly with
slurred speech. Vital signs are normal. Examination of
the skin shows no abnormalities. Pupils are pinpoint and react sluggishly.
Urine toxicology screening is positive for diazepam, methadone, and
oxycodone. The patient returns to the office 1 week later
to discuss these results. Which of the following is the most appropriate
opening remark?
(A) ""I am concerned that you are abusing pain medicine. I would like for you
to consider a substance use disorder
treatment program.""
(B) ""I cannot be your physician any longer because of your drug use
disorder. I'm going to give you 30 days to find a new
physician.""
(C) ""I would like to know where you have been getting the methadone and
diazepam that you are taking.""
(D) ""The test showed that you take other drugs that I have not prescribed
to you. I must report this to the police.",C,A,0
"Question 51.1 (MC-NJ) - Step 3 A 24-year-old woman, gravida 1, para 1, comes to the office because she and
her husband have been trying to conceive for
the past year without success. She gave birth to her first child at age 18
years by cesarean delivery following fetal distress.
She then developed postpartum endometritis that resolved with
intravenous antibiotic therapy. She used an intrauterine
device (IUD) for 1 year following her first pregnancy but had the device
removed because of intermenstrual bleeding.
Medical history is also remarkable for chlamydial cervicitis treated with
antibiotic therapy as an outpatient at age 21 years,
and recurrent bacterial vaginosis that had been treated with metronidazole
therapy during her pregnancy and on two other
occasions. Vital signs today are within normal limits. Breast and pelvic
examinations disclose no abnormalities.
Hysterosalpingography shows bilateral hydrosalpinx. Which of the
following factors in this patient's history most increased
her risk for development of her condition?
(A) Bacterial vaginosis
(B) Cesarean delivery
(C) Chlamydial cervicitis
(D) Postpartum endometritis
(E) Use of an IUD",B,C,0
"Question 52.1 (MC-NJ) - Step 3 Patient Information
Age: 62 years
Gender: M, self-identified
Ethnicity: white, self-identified
Site of Care: office
History
Reason for Visit/Chief Concern: ""My legs hurt when I walk, and it's getting
worse.""
History of Present Illness: 3-month history of worsening leg pain, pain
exacerbated by walking; peak intensity after 1 block, pain resolves
completely with rest, pain rated 4/10 at worst
Past Medical History: hypertension, mild angina, type 2 diabetes mellitus
Medications: lisinopril, metoprolol, furosemide, glyburide, lovastatin
Allergies: no known drug allergies
Psychosocial History: has smoked one-half pack of cigarettes daily for 44
years
Physical Examination
Temp 36.0°C (96.8°F)
Pulse 72/min
Resp 14/min
BP 140/90 mmHg
O2Sat -
Height 164 cm (5 ft 5 in)
Weight 90 kg (198 lb)
BMI 33 kg/m˛
Appearance: no acute distress
HEENT: funduscopic shows grade 2/4 arteriovenous nicking
Neck: no jugular venous distention
Pulmonary: clear to auscultation; mildly diminished lung sounds
Cardiac: no bruits; distant heart sounds
Abdominal: obese; no tenderness, guarding, masses, bruits, or
hepatosplenomegaly
Extremities: no joint erythema, edema, or warmth; no hair on toes; no
femoral bruits; dorsalis pedis, radial, and femoral
pulses intact
Neurologic: sensation to vibration intact
Question: Which of the following is the most appropriate diagnostic study?
(A) Ankle brachial index
(B) Arteriography
(C) ECG
(D) Echocardiography
(E) MUGA scan",A,A,1
"Question 53.1 (MC-NJ) - Step 3 In determining the usefulness of a D-dimer assay in ruling out pulmonary
embolism as a diagnosis in a 27-year-old woman
with pleuritic chest pain and nonproductive cough, a recent study in the
medical literature is reviewed. The study evaluates
the use of D-dimer assay in 1500 patients (705 female and 795 male)
ranging in age from 19 years to 57 years (mean age is
36 years), whose examining physicians had a low clinical suspicion that the
patients had pulmonary embolism. All patients in
the study underwent a D-dimer assay, followed by CT angiography of the
chest to confirm or exclude the diagnosis of
pulmonary embolism. Study results are shown:
D-Dimer Positive and CT Angiography Positive: 88
D-Dimer Negative and CT Angiography Positive: 0
D-Dimer Positive and CT Angiography Negative: 312
D-Dimer Negative and CT Angiography Negative: 1100
Total CT Angiography Positive: 88
Total CT Angiography Negative: 1412
Total D-Dimer Positive: 400
Total D-Dimer Negative: 1100
Which of the following is the most appropriate conclusion about this data
in regard to patients with low clinical suspicion for
pulmonary embolism?
(A) D-Dimer assay results should be used to determine the need for
ordering CT angiography for patients suspected of
having a pulmonary embolism
(B) False-negative D-dimer assay results are common in patients with
confirmed pulmonary embolism
(C) False-positive D-dimer assay results are rarely encountered
(D) A negative D-dimer assay has a high negative predictive value for
excluding the diagnosis of pulmonary embolism
(E) A positive D-Dimer assay has a high positive predictive value for
diagnosing pulmonary embolism",E,D,0
"Question 54.1 (MC-NJ) - Step 3 A 45-year-old man is admitted to the hospital because of a 6-hour history
of bilateral vision loss. He is otherwise
asymptomatic. He has no history of serious illness and takes no
medications. Vital signs are within normal limits. Physical
examination findings are consistent with psychogenic blindness. A medical
student on the patient's treatment team suggests
to the attending physician that they administer a placebo 0.9% saline
injection to the patient but tell the patient it is a new
medication that will ""confirm a diagnosis of blindness by temporarily
recovering your vision."" Which of the following best
describes the appropriateness of the medical student's suggestion?
(A) It is appropriate because it can prove that the patient is not blind
(B) It is appropriate because the medical student's intent is to help the
patient
(C) It is inappropriate because it is invasive and could be painful
(D) It is inappropriate because the physician would not be stating the truth
(E) It is inappropriate without the approval of the hospital ethics
committee",D,D,1
"Question 55.1 (MC-NJ) - Step 3 A 5-week-old infant is brought to the office by his mother for an initial
well-child visit. He was born at 37 weeks' gestation
via cesarean delivery because of chorioamnionitis. The infant had fetal
distress that was documented by fetal monitoring
during labor. The mother became jaundiced in the immediate postpartum
period and was found to have hepatitis C (HCV)
and HIV infection. She is unaware of her hepatitis B (HBV) status but knows
that her son received the hepatitis B
vaccination on the second day of life. The infant's weight today is 3912 g (8
lb 10 oz); physical examination shows no
abnormalities. The mother wants to know what chance her child has of
having contracted HIV or HCV infection from her.
The risk for vertical transmission of HIV is approximately 20%. The mother
is advised and appropriate management is
planned for the infant regarding HIV. To determine the risk of HCV
transmission, a recently published study of risk factors
for perinatal transmission of HCV in 155 mothers coinfected with HIV and
HCV is reviewed. Results of the study are shown:
Association of Gestational and Infant Factors With Mother-to-Infant HCV
Transmission
155 Mothers with HIV and HCV Infection
Factor: Gestational Age <37 weeks - HCV Transmission 8.4%, RR 1.0, 95% CI
-
Factor: Gestational Age ?37 weeks - HCV Transmission 8.3%, RR 0.99, 95%
CI 0.32 to 3.06, p Value 0.99
Factor: No Cesarean Delivery - HCV Transmission 6.0%, RR 1.0, 95% CI -
Factor: With Cesarean Delivery - HCV Transmission 13.3%, RR 2.21, 95% CI
0.69 to 7.06, p Value0.24
Factor: No Chorioamnionitis - HCV Transmission 7.0%, RR 1.0, 95% CI -
Factor: With Chorioamnionitis - HCV Transmission 33.3%, RR 4.77, 95% CI
0.86 to 26.3, p Value 0.21
Factor: Did not use Fetal Electrode - HCV Transmission 7.0%, RR 1.0, 95%
CI —
Factor: Used of Fetal Electrode - HCV Transmission 3.3%, RR 0.66, 95% CI
0.09 to 4.89, p Value 0.99
Factor: Infant Not HIV-infected - HCV Transmission 5.4%, RR 1.0 95% CI —
Factor: Infant HIV-infected - HCV Transmission 17.1%, RR 3.19, 95% CI 1.14
to 8.93, p Value 0.04
RR=relative risk; CI=confidence interval
Based on these data, which of the following is the most appropriate
conclusion regarding the five potential risk factors for
transmission of HCV?
(A) All factors appeared to have an effect on HCV transmission
(B) Fetal electrode monitoring was protective against HCV
(C) Infant HIV infection was the only significantly associated factor
(D) Maternal chorioamnionitis was the most significantly associated factor
(E) No factor was significantly associated",C,C,1
"Question 56.1 (MC-NJ) - Step 3 A 45-year-old man comes to the community health center because of a 1-
week history of fever, chills, sweating, mild
shortness of breath, and nonproductive cough. Medical history is
remarkable for AIDS and pneumonia 3 years ago that
required hospitalization. Today, he says that he lost his job 6 months ago
and cannot afford to buy his antiretroviral
medications. Vital signs are temperature 38.6°C (101.5°F), pulse 82/min,
respirations 20/min, and blood pressure
116/72 mmHg. Pulse oximetry on room air shows an oxygen saturation of
97%. The health center is very busy with several
patients waiting to be evaluated. Which of the following is the most
appropriate next step?
(A) Arrange a direct admission to the hospital for this patient
(B) Continue with obtaining a thorough history and examining this patient
(C) Place masks on the patient and yourself and then continue to evaluate
him
(D) Send this patient for chest x-rays, and while they are being obtained
examine the next patient",A,C,0
"Question 57.1 (MC-NJ) - Step 3 A 45-year-old man comes to the office for a follow-up examination 2 days
after he was seen in the emergency department for
a generalized tonic-clonic seizure. He was prescribed chlordiazepoxide
upon being discharged but did not fill the
prescription. The patient says that this was his third seizure in the past 2
years; prior to that he had no history of seizures.
Medical history is also remarkable for a 10-year history of daily ingestion of
two six-packs of beer. He has not had any
alcoholic beverages for the past 5 days. He takes no medications. The
patient says that his seizures usually occur after he
abstains from alcohol for a period of time. Vital signs are normal. Physical
examination shows scattered spider angiomata on
his chest and abdomen. Liver is enlarged, smooth, and nontender. CT scan
of the head with contrast done in the emergency
department 2 days ago showed no abnormalities. Which of the following is
the most appropriate next step?
(A) Lumbar puncture for examination of cerebrospinal fluid
(B) MRI of the brain
(C) Repeat CT scan of the head in 1 week
(D) Sleep-deprived electroencephalography
(E) No further evaluation is necessary",E,E,1
"Question 58.1 (MC-NJ) - Step 3 A case-control study is conducted to assess risk factors predicting
inpatient mortality among geriatric patients with
community-acquired pneumonia. Results of the study include the odds
ratios shown below, which were calculated from a
multivariable logistic regression equation:
Predictor Variables:
Hypotension (systolic blood pressure ?100 mm Hg) - Odds Ratio: 3.32, 95%
CI (1.65 to 5.11)
Hypoxemia (PO2 ? 50 mm Hg) - Odds Ratio: 2.43, 95% CI (1.55 to 3.32)
Lung infiltrate present on chest x-ray at time of admission - Odds Ratio:
1.35, 95% CI (0.76 to 2.24)
When the other covariates are controlled, which of the following is the
most appropriate conclusion regarding these data?
(A) The risk for inpatient mortality is greater for patients with hypotension
than for those without hypotension
(B) The risk for inpatient mortality is increased more by hypoxemia than by
hypotension
(C) The risk for inpatient mortality is increased when there is a pulmonary
infiltrate present on chest x-ray at the time of
admission
(D) The risk for inpatient mortality is significantly affected by all of these
predictor variables",A,A,1
"Question 59.1 (MC-NJ) - Step 3 A 38-year-old man comes to the office because of a 2-month history of
intermittent episodes of hot flushes, chest discomfort,
and excessive sweating, with associated panic. The episodes have been
increasing in frequency and now are occurring daily.
The patient says there is no specific precipitating cause of the episodes,
but he has noticed that the episodes occur most
frequently in the afternoon. He does not have any new stressors in his life.
Medical history is significant for hypertension and
type 2 diabetes mellitus. Medications are lisinopril and metformin. Family
history is significant for hyperparathyroidism in
an aunt and the death of an uncle from medullary thyroid cancer. The
patient's BMI is 33 kg/m˛. Vital signs are temperature
36.9°C (98.4°F), pulse 74/min, respirations 18/min, and blood pressure
138/92 mm Hg. Physical examination discloses no
abnormalities. Results of serum laboratory studies are shown:
Calcium 9.8 mg/dL
Urea nitrogen 15 mg/dL
Creatinine 1.0 mg/dL
Na+ 140 mEq/L
K+ 3.8 mEq/L
Cl? 102 mEq/L
HCO3 ?28 mEq/L
ECG shows no abnormalities.
Which of the following is the most appropriate diagnostic study at this
time?
(A) Plasma renin activity
(B) Serum aldosterone concentration
(C) Serum free metanephrine concentration
(D) Serum parathyroid hormone concentration
(E) No study is indicated",B,C,0
"Question 60.1 (MC-NJ) - Step 3 A 19-year-old woman is referred to the office by her counselor for
evaluation of possible depression. The counselor describes
the patient as polite, conscientious, cooperative, open to therapy, and
always present and on time for her weekly sessions.
The patient's relationship with her high school boyfriend ended 6 months
ago. She had dated him through high school, and he
had ""looked out for her as a friend"" since the 6th grade. She says, ""I feel
helpless and don't know what to do without him.""
She admits that she often cannot make decisions, such as whether to go to
college. She says, ""I always mess things up."" She
is still sad and often tearful about her ex-boyfriend, but she has not had
alterations in her sleep habits, appetite, weight, or
energy level. She has not had any thoughts about death. Medical history is
unremarkable and she takes no medications. BMI
is 24 kg/m˛. Vital signs are normal and physical examination discloses no
abnormalities. Which of the following is the most
appropriate initial response to this patient's self-deprecating description?
(A) ""College is full of many great once-in-a-lifetime opportunities. You
should go.""
(B) ""Everyone makes mistakes. In your case, though, that doesn't mean you
always mess things up.""
(C) ""If you find yourself needing some guidance, call me.""
(D) ""You're overreacting. You just need to give it a little more time.",B,B,1
