Question,Grok-4_prediction,Correct,Score
"Question 61.1 (MC-NJ) - Step 3 A 35-year-old man comes to the office because of 1-week history of mid
low back pain that radiates down his right leg. The
pain began after the patient lifted a heavy box onto his truck. He rates his
current pain as an 8 on a 10-point scale. He has
been unable to find a comfortable position and has been sleeping in a
recliner. Medical history is unremarkable and he takes
no medications. He has smoked one pack of cigarettes daily for the past 25
years, and he drinks a six-pack of beer on Friday
and Saturday nights. BMI is 27 kg/m˛. He appears uncomfortable and
stands during the physical examination. Vital signs are
normal. Straight-leg raise test is positive on the right, with loss of right
ankle reflex. The remainder of the physical
examination discloses no abnormalities. Which of the following is the most
likely explanation for this patient’s symptoms?
(A) Displacement of the nucleus pulposus
(B) Hypertrophy of the facet joints
(C) Osteophyte formation
(D) Spondylolisthesis
(E) Thickening of ligamentum flavum",A,A,1
"Question 62.1 (MC-NJ) - Step 3 A 71-year-old woman is brought to the emergency department by her
daughter for evaluation of her mental status. The
daughter says, ""I visited mom today for the first time in 6 months; her
memory has worsened, her bills are unpaid, and her
house is unusually messy."" The patient says, ""I'm perfectly healthy."" Medical
history is significant for hypertension
diagnosed more than 25 years ago, and two small strokes occurring 3 years
and 7 months ago. The daughter gives you three
empty medicine bottles from her mother's home: metoprolol,
hydrochlorothiazide, and aspirin. The patient is 165 cm
(5 ft 5 in) tall and weighs 59 kg (130 lb); BMI is 22 kg/m˛. Vital signs are
temperature 36.4°C (97.6°F), pulse 76/min,
respirations 16/min, and blood pressure 196/112 mm Hg. Pulse oximetry on
room air shows an oxygen saturation of 93%.
Muscle strength in her left hand is 1/5. Strength in the right extremities is
4/5. The patient is oriented only to self; she does
not know the day of the week or today's date. She recalls 0 of 3 words at 5
minutes, and she is unable to name 2 objects,
correctly draw interlocking pentagons, or count backwards by serial
sevens. Complete blood count, renal function studies,
liver function studies, and urinalysis are all within the reference ranges.
ECG shows no abnormalities. Which of the
following is the most likely underlying cause of the patient's symptoms?
(A) Alzheimer disease
(B) Amyotrophic lateral sclerosis
(C) Cortical basal ganglionic degeneration
(D) Neurosyphilis
(E) Vascular dementia",E,E,1
"Question 64.1 (MC-NJ) - Step 3 A 45-year-old woman with a history of seizure disorder comes to the office
because she has had seizures daily for the past 3
weeks, despite adhering to her medication regimen. Medical history is also
significant for borderline hypertension for the
past year and alcohol use disorder. She admits that she has been drinking
two beers daily since she lost her job 3 weeks ago.
Medications include phenobarbital. Family history is significant for type 2
diabetes mellitus and hypertension in both parents
and in all of her grandparents, heart disease in her sister, and death of her
paternal grandfather of complications from alcohol
use disorder. The patient smoked one pack of cigarettes daily for 20 years
but quit smoking 1 year ago. Since losing her job,
the patient has been earning money by driving her neighbors' children to
school and driving another neighbor to hospital
appointments. BMI is 22 kg/m˛. Vital signs are temperature 37.1°C (98.8°F),
pulse 80/min, respirations 16/min, and blood
pressure 138/86 mm Hg. Physical examination discloses no abnormalities.
Serum phenobarbital concentration is obtained
and results are pending. Which of the following is the priority in
management at today's visit?
(A) Discussing a new treatment regimen for the patient's seizure disorders
(B) Evaluating the patient for depressive disorder
(C) Evaluating the patient's ability/desire to stop drinking alcoholic
beverages
(D) Instructing the patient to stop driving",D,D,1
"Question 65.1 (MC-NJ) - Step 3 A randomized controlled trial is conducted to assess the effectiveness of a
new combination-drug antihypertensive therapy
(Drug X) compared with a standard antihypertensive single-drug therapy.
Study participants include 140 women (70%) and
60 men (30%) ages 30 to 60 years, with baseline blood pressure
measurements of 150/95 mm Hg or higher. The investigators
defined antihypertensive therapy as effective if the treatment resulted in a
blood pressure measurement below
140/90 mm Hg. When designing the study, the investigators set the
probability of wrongly finding that Drug X is more
effective than the standard therapy as 1%; they set the probability of
wrongly finding that the effectiveness of the two drugs
is the same as 10%. Which of the following is the most accurate estimate of
the statistical power in this study?
(A) 1%
(B) 10%
(C) 40%
(D) 90%
(E) 99%",D,D,1
"Question 66.1 (MC-NJ) - Step 3 Essepro™ (lesystolol) Reduces Blood Pressure Significantly
No significant interactions with commonly used medications were
observed. No significant interactions with hydrochlorthiazide, furosemide,
losartan orlisinopril. No significant interactions with digoxin, warfarin or
simvastatin. Drugs that inhibit CYP2C9 can increase plasma levels of
Essepro. Patients on Essepro who are also treated with drugs that inhibit
or induce this enzyme shhould be monitored closely, and dosage of
Essepro may need to be adjusted based on blood pressure response.
Important Safety Information
Patients treated with Essepro should be advised against sudden
discontinuation of therapy. When discontinuing therapy, dosage should be
gradually tapered over 2 weeks. Essepro is contraindicated i patients with
bradycardia, heart block greater than first degree, cardiogenic shock,
decompensated cardiac failure, severe hepatic impairment, and in patients
who are hypersensitive to any component of this product. Essepro should
be used with caution in patients with peripheral vascular disease, renal
impairment or thyrotoxicoses. Caution should be used in diabetics, as beta
blockers may mask some manifestations of hypoglycemia. In general,
patients with bronchospastic disease should not receive beta blockers.
A 65-year-old woman comes to the office for blood pressure medication
management. Medical history is significant for poorly
controlled hypertension, psoriasis, and psoriatic arthritis previously
treated with methotrexate. Additional medical history is
significant for alcohol use disorder and elevated liver function tests.
Medications include enalapril, spironolactone, and topical
corticosteroids. Vital signs are normal except for a blood pressure of
160/104 mm Hg. Physical examination discloses thick, scaly
plaques on the scalp, buttocks, and upper and lower extremities. There are
several spider angiomata on the chest and abdomen. The
abdomen is distended and a fluid wave is noted. She has 2+ lower extremity
edema. The patient says she would like to try a new
drug called Essepro to treat her hypertension because she can get a 3-
month supply of the medication for free.
66. Which of the following is the most appropriate response to the patient's
request for the medication?
(A) Essepro should be prescribed because she can get it for free
(B) Essepro should not be prescribed because it can worsen her psoriasis
(C) Essepro should not be prescribed because it is similar to her other
medications
(D) Essepro should not be prescribed because the patient has severe liver
disease
(E) Essepro should only be used for hypertensive emergencies",A,D,0
"Question 68.1 (MC-NJ) - Step 3 A 19-year-old woman comes to her university's health center because of a
1-week history of nasal stuffiness, occasional clear
rhinorrhea, and a mild sore throat. Two days ago, she began to feel hot, but
she has not taken her temperature. Medical
history is unremarkable and her only medication is an oral contraceptive.
She has no history of allergies. She does not smoke
cigarettes. BMI is 22 kg/m˛. Vital signs are temperature 38.1°C (100.6°F),
pulse 88/min, respirations 16/min, and blood
pressure 116/74 mm Hg. Physical examination discloses tenderness over
the left maxillary sinus without purulent drainage.
There is clear fluid behind the left tympanic membrane, enlarged tonsils
bilaterally, and pain with tapping of the left upper
incisors. The left frontal sinus does not transilluminate. Cardiopulmonary
examination discloses no abnormalities. Which of
the following is the most likely underlying mechanism of this patient's
sinusitis?
(A) Eustachian tube dysfunction
(B) Mucosal edema
(C) Nasal polyps
(D) Oral contraceptive use
(E) Tonsillar hyperplasia",B,B,1
"Question 69.1 (MC-NJ) - Step 3 A 40-year-old woman comes to the office because of a 2-month history of
fatigue, and generalized aching and weakness of
the proximal muscles of all four extremities. The patient initially noticed
the weakness only while she was getting in and out
of her car, but during the past 2 weeks, the weakness has progressed, so
that she now has difficulty combing her hair. Since
the symptoms began, she also has had aching of the joints in her hands that
has responded partially to ibuprofen. She was
adopted and family history is unknown. She has two teenaged children who
are well. She appears uncomfortable. She is 170
cm (5 ft 7 in) tall and weighs 68 kg (150 lb); BMI is 24 kg/m˛. Vital signs are
temperature 37.7°C (99.8°F), pulse 90/min,
respirations 20/min, and blood pressure 110/70 mm Hg. The patient is alert
and fully oriented. Physical examination
discloses cracking of the skin of both hands that involves the tips and
lateral sides of several fingers. The muscles of the
upper arms and legs are somewhat tender to pressure. Results of serum
laboratory studies show a creatine kinase
concentration of 600 U/L and a lactate dehydrogenase concentration of
800 U/L. Results of complete blood count are within
the reference ranges. Which of the following is the most likely diagnosis?
(A) Fibromyalgia
(B) Myasthenia gravis
(C) Polymyositis
(D) Scleroderma",D,C,0
"Question 70.1 (MC-NJ) - Step 3 A new diagnostic test for HIV infection is developed. The new serum
biomarker concentration is measured in 711 men and
women, ages 25 to 65 years. Of these individuals, 336 were previously
determined to have HIV and 375 do not have HIV.
Stratified results of the new serum biomarker test are shown:
Serum Biomarker Concentration >100 U/mL Positive for HIV 120 Negative
for HIV 10
Serum Biomarker Concentration 76–100 U/mL Positive for HIV 100
Negative for HIV 130
Serum Biomarker Concentration 51–75 U/mL Positive for HIV 75 Negative
for HIV 75
Serum Biomarker Concentration 26–50 U/mL Positive for HIV 30 Negative
for HIV 60
Serum Biomarker Concentration 0–25 U/mL Positive for HIV 11 Negative
for HIV 200
Total Number of Positive for HIV = 336
Total Number of Negative for HIV = 375
Which of the following is the likelihood ratio that is associated with a
serum biomarker concentration greater than 100 U/mL?
(A) 2
(B) 8
(C) 13
(D) 25
(E) 33",C,C,1
"Question 71.1 (MC-NJ) - Step 3 A 40-year-old man comes to the office for a preemployment physical
examination. The patient has been generally healthy.
Medical history is unremarkable and he takes no routine medications. Vital
signs are normal. Physical examination shows a
palpable nodule in the right lobe of the thyroid gland. Serum thyroidstimulating
hormone concentration is within the
reference range. Ultrasonography of the thyroid gland confirms a solid, 1-
cm nodule. Which of the following is the most
appropriate next step in evaluation?
(A) CT scan of the neck
(B) Fine-needle aspiration of the nodule
(C) Radionuclide thyroid scan
(D) Thyroidectomy
(E) Observation only",C,B,0
"Question 72.1 (MC-NJ) - Step 3 A 35-year-old man was admitted to the hospital 3 days ago because of
pneumonia, but he has shown no clinical improvement
despite ceftriaxone and azithromycin therapy. Upon admission, the patient
exhibited blood-streaked sputum and chest x-ray
showed hilar adenopathy. Medical history is otherwise unremarkable. The
patient is a construction worker and he returned
home 1 week ago from the southwest United States, where he had been
temporarily employed. He does not smoke cigarettes.
BMI is 20 kg/m˛. Vital signs today are temperature 38.5°C (101.3°F), pulse
106/min, respirations 22/min, and blood pressure
110/70 mm Hg. Pulse oximetry on room air shows an oxygen saturation of
95%. PPD skin test is nonreactive. Acid-fast
smears of three sputum samples were all negative. Complete blood count
at the time of admission showed a normal leukocyte
count with 15% eosinophils. Results of blood culture have been negative
since admission. Which of the following is most
likely to provide a diagnosis?
(A) Bacterial culture of sputum
(B) CT scan of the chest
(C) Fungal culture of the blood
(D) Serologic study for Coccidioides immitis
(E) Sputum cytologic study
(F) Urine assay for Legionella antigen",C,D,0
"Question 73.1 (MC-NJ) - Step 3 A 25-year-old man is brought to the office by his parents. The patient has
Down syndrome and mild intellectual
developmental disorder. He is their only child, and they are concerned that
his current lifestyle is increasing his risk for
coronary artery disease and stroke. The patient has a systolic murmur and
also underwent surgical repair of an atrial septal
defect at 1 year of age. He has smoked one pack of cigarettes daily for 5
years. He lives in a group home and works about
25 hours each week in a fast-food restaurant. He has a few friends and is
romantically involved with a woman from his
church group. The patient is 157 cm (5 ft 2 in) tall and weighs 91 kg (200 lb);
BMI is 36 kg/m˛. Vital signs are normal. A
grade 2/6 systolic murmur is heard best at the apex. The parents would
like him to stop smoking and follow a healthier diet,
and they feel the only way to monitor and control his behavior is for him to
move back into their home. They request your
assistance in obtaining legal guardianship of their son. Which of the
following is the most appropriate initial
recommendation?
(A) Advise the parents not to influence their son's decision in this matter
(B) Arrange for evaluation of their son's competency
(C) Enroll their son in a smoking cessation program
(D) Initiate a family meeting to discuss the parents' concerns with their son
(E) Obtain legal advice regarding guardianship",D,D,1
"Question 74.1 (MC-NJ) - Step 3 A 45-year-old woman comes to the office because of a 3-day history of
nasal congestion, headache, sore throat, and general
malaise. She has developed a cough during the past 24 hours that is mildly
productive of clear sputum. Except for occasional
seasonal allergies, she has no previous history of medical problems. She
takes no medications on a regular basis but during
the past 3 days she has been taking an over-the-counter oral cold
medication. She follows a strict low-fat vegetarian diet and
she drinks three to four glasses of wine per week. She jogs 3 miles a day
when she is not sick. Vital signs today are
temperature 37.5°C (99.5°F), pulse 90/min, and blood pressure 140/94 mm
Hg. Height is 170 cm (5 ft 7 in); weight is
54 kg (120 lb); BMI is 19 kg/m˛. On physical examination she appears
slightly anxious. Nasal mucosa is erythematous and
swollen, and sinuses are nontender. Posterior pharynx is also erythematous
but there are no exudates. Lungs are clear on
auscultation and cardiac examination is normal. Repeat blood pressure
measurement at the end of the examination is
142/96 mm Hg in the left arm and 138/94 mm Hg in the right arm. Which
of the following is the most likely cause of her
elevated blood pressure?
(A) Acute viral illness
(B) Chronic sinusitis
(C) Essential hypertension
(D) Her alcohol intake
(E) Over-the-counter cold medication",E,E,1
"Question 75.1 (MC-NJ) - Step 3 A 41-year-old woman comes to the emergency department because of a 3-
day history of fever and a 2-day history of
worsening flank pain with frequent and painful urination. She describes the
pain as constant and says it worsens when she
coughs or lies on her right side. She rates the pain as a 5 on a 10-point
scale; ibuprofen has provided moderate relief of her
pain. She also reports intermittent nausea but has not had vomiting or
change in bowel habits. Medical history is significant
for several uncomplicated urinary tract infections, most recently 8 months
ago. Each infection resolved with antibiotic
therapy. She currently takes no medications aside from her recent use of
ibuprofen. She is sexually active with one male
partner and uses condoms regularly. Vital signs are temperature 39.4°C
(103.0°F), pulse 76/min, respirations 20/min, and
blood pressure 128/74 mm Hg. Auscultation of the chest discloses normal
S1 and S2. Abdomen is soft with normal bowel
sounds. There is guarding on the right lateral side and tenderness to
compression over the right costophrenic angle. Results of
laboratory studies are shown:
Serum:
Urea nitrogen 18 mg/dL
Creatinine 0.9 mg/dL
Blood:
Hemoglobin 12.8 g/dL
WBC 20,000/mm3
Neutrophils, segmented 80%
Lymphocytes 15%
Eosinophils 2%
Monocytes 3%
Urine:
Specific gravity 1.015 (N=1.003–1.029)
Protein Negative
Occult blood Negative
Leukocyte esterase Positive
WBC Too numerous to count
Casts Occasional
Urine and blood cultures are obtained and sent for analysis. Antibiotic
therapy is initiated. Which of the following is the most
appropriate next step?
(A) Cystoscopy
(B) Echocardiography
(C) MRI of the abdomen
(D) Renal ultrasonography
(E) No additional study is indicated",E,E,1
"Question 76.1 (MC-NJ) - Step 3 A 41-year-old woman is brought to the emergency department by her
husband because of nausea and dizziness that began
suddenly 4 hours ago. She says she feels like the room is spinning. She has
not vomited. She recalls receiving a blow to the
left side of her neck 1 week ago when her dog jumped on her, but she has
had no ill effects from that incident. Medical
history is unremarkable. She takes no medications. Vital signs are normal.
Physical examination shows mild ptosis of the left
eyelid. The right pupil measures 4 mm in diameter and the left pupil
measures 2 mm in diameter. Both pupils are reactive to
light. Ocular motility is full. Nystagmus is present in both eyes on left
lateral gaze. Left corneal reflex is diminished.
Sensation to pinprick and cold is reduced over the left side of the face,
right side of the chest, abdomen, and right upper and
lower extremities. Which of the following pathophysiologic processes most
accurately explains this patient's left-sided ptosis
and decreased pupil size?
(A) Parasympathetic overactivity
(B) Parasympathetic underactivity
(C) Postsynaptic neuromuscular junction defect
(D) Presynaptic neuromuscular junction defect
(E) Sympathetic overactivity
(F) Sympathetic underactivity",F,F,1
